WATERTOWN,BELMONT
3324,0
9299,2644
304,3865
0,0
5772,2144
1888,1909
5404,-204
3912,3302
0,905
2215,1466
-184,0
6664,2653
2933,7104
3740,3442
12359,0
3882,0
0,1588
4218,465
7622,2444
3609,0
5502,5050
0,1279
0,1456
3332,3201
1408,0
4030,-35
6036,908
7729,1753
2580,2828
3845,3679
0,0
2703,2343
3851,4515
3292,77
1405,3201
8629,1329
4009,4009
0,2212
2727,3014
3888,1227
3504,0
4923,2122
0,3367
2667,1090
3774,3105
3561,1999
4502,508
-222,3278
4402,639
3620,1896
1989,4055
5034,3176
6609,2050
3456,0
3801,1728
0,955
7786,0
1259,2635
3307,1763
4930,3328
3403,255
5505,0
0,233
7000,3611
3546,2983
4888,3408
6320,0
2828,1555
3662,0
0,1865
3827,3986
6828,6779
3882,5207
2029,0
4455,133
3845,-453
379,666
4403,3209
0,0
3502,2708
0,0
4421,653
3102,3328
597,2780
3680,988
3375,0
0,2100
9890,1985
2359,4002
3443,0
2347,2611
0,0
4005,2198
3709,335
2615,2707
0,2145
7476,199
3455,2238
2867,0
4501,1699
